accession,species
GCF_010731655.1,Mycobacterium paraseoulense
GCF_002086815.1,Mycobacterium parafortuitum
GCF_900417285.1,Mycobacterium parafortuitum
GCF_002086395.1,Mycobacterium moriokaense
GCF_010726085.1,Mycobacterium moriokaense
GCF_002742165.1,Mycobacterium celatum
GCF_002101595.1,Mycobacterium celatum
GCF_002553505.1,Mycobacterium agri
GCF_010722915.1,Mycobacterium agri
GCF_001373515.1,Mycobacterium europaeum
GCF_002102155.1,Mycobacterium europaeum
GCF_010728155.1,Mycobacterium doricum
GCF_002102115.1,Mycobacterium doricum
GCF_010727725.1,Mycobacterium chitae
GCF_900637205.1,Mycobacterium chitae
GCF_001053185.1,Mycobacterium bohemicum
GCF_002102025.1,Mycobacterium bohemicum
GCF_010730355.1,Mycobacterium florentinum
GCF_002101635.1,Mycobacterium florentinum
GCF_001766635.1,Mycobacterium grossiae
GCF_008329645.1,Mycobacterium grossiae
GCF_010729305.1,Mycobacterium psychrotolerans
GCF_002101875.1,Mycobacterium saskatchewanense
GCF_010729105.1,Mycobacterium saskatchewanense
GCF_001667205.1,Mycobacterium peregrinum_B
GCF_001665625.1,Mycobacterium peregrinum_B
GCF_010731635.1,Mycobacterium noviomagense
GCF_002086415.1,Mycobacterium noviomagense
GCF_001049355.1,Mycobacterium aurum
GCF_900637195.1,Mycobacterium aurum
GCF_010730955.1,Mycobacterium aubagnense
GCF_005670695.1,Mycobacterium aubagnense
GCF_002086575.1,Mycobacterium branderi
GCF_010728725.1,Mycobacterium branderi
GCF_001672575.1,Mycobacterium scrofulaceum_C
GCF_001667885.1,Mycobacterium scrofulaceum_C
GCF_002101555.1,Mycobacterium canariasense
GCF_001570445.1,Mycobacterium canariasense
GCF_010730055.1,Mycobacterium shinjukuense
GCF_002086755.1,Mycobacterium shinjukuense
GCF_002101995.1,Mycobacterium fallax
GCF_010726955.1,Mycobacterium fallax
GCF_010730575.1,Mycobacterium parmense
GCF_002102335.1,Mycobacterium parmense
GCF_001545135.1,Mycobacterium wolinskyi
GCF_002101965.1,Mycobacterium wolinskyi
GCF_900157385.1,Mycobacterium terramassiliense
GCF_002101585.1,Mycobacterium engbaekii
GCF_002102185.1,Mycobacterium fragae
GCF_001187505.1,Mycobacterium goodii_B
GCF_002086125.1,Mycobacterium arosiense
GCF_002104765.1,Mycobacterium vulneris
GCF_010731735.1,Mycobacterium sediminis
GCF_900078675.2,Mycobacterium interjectum
GCF_900108565.1,Mycobacterium rutilum
GCF_001672755.1,Mycobacterium colombiense_C
GCF_902705885.1,Mycobacterium vanbaalenii_A
GCF_003284935.1,Mycobacterium arosiense_A
GCF_900157375.1,Mycobacterium rhizamassiliense
GCF_002591975.1,Mycobacterium neglectum
GCF_000266905.1,Mycobacterium chubuense_A
GCF_001673315.1,Mycobacterium asiaticum_B
GCF_010731875.1,Mycobacterium sarraceniae
GCF_001722335.1,Mycobacterium flavescens_A
GCF_017086405.1,Mycobacterium gordonae_D
GCF_002157835.1,Mycobacterium dioxanotrophicus
GCF_013390125.1,Mycobacterium hippocampi_A
GCF_002086795.1,Mycobacterium tusciae
GCF_001665785.1,Mycobacterium peregrinum_A
GCF_002086115.1,Mycobacterium bacteremicum
GCF_000526915.1,Mycobacterium genavense
GCF_000243415.2,Mycobacterium tusciae_A
GCF_001668675.1,Mycobacterium asiaticum_D
GCF_010731815.2,Mycobacterium arabiense
GCF_010731715.1,Mycobacterium stomatepiae
GCF_002086155.1,Mycobacterium angelicum
GCF_002101785.1,Mycobacterium palustre
GCF_001673365.1,Mycobacterium asiaticum_A
GCF_003112775.1,Mycobacterium montefiorense
GCF_010726765.1,Mycobacterium gallinarum
GCF_900078685.2,Mycobacterium icosiumassiliensis
GCF_002356335.1,Mycobacterium stephanolepidis
GCF_001650495.1,Mycobacterium iranicum_A
GCF_002592005.1,Mycobacterium palauense
GCF_010727325.1,Mycobacterium alvei
GCF_001050035.1,Mycobacterium komanii
GCF_010725725.1,Mycobacterium pulveris
GCF_010729665.1,Mycobacterium madagascariense
GCF_001373395.1,Mycobacterium lentiflavum
GCF_002086695.1,Mycobacterium rhodesiae
GCF_019050325.1,Mycobacterium fortunisiensis
GCF_010723575.1,Mycobacterium bourgelatii
GCF_010731855.1,Mycobacterium anyangense
GCF_900292015.1,Mycobacterium basiliense
GCF_003347205.1,Mycobacterium moriokaense_B
GCF_001417955.2,Mycobacterium gordonae_B
GCF_001050015.1,Mycobacterium malmesburyense
GCF_002104675.1,Mycobacterium decipiens
GCF_014218295.1,Mycobacterium litorale_B
GCF_003201655.1,Mycobacterium moriokaense_A
GCF_001021505.1,Mycobacterium heraklionense_B
GCF_002102395.1,Mycobacterium triviale
GCF_002102265.1,Mycobacterium longobardum
GCF_010728925.1,Mycobacterium gadium
GCF_014190915.1,Mycobacterium iranicum_B
GCF_000559085.1,Mycobacterium aromaticivorans
GCF_006439015.1,Mycobacterium hodleri_A
GCF_900176255.2,Mycobacterium ahvazicum
GCF_000230935.1,Mycobacterium rhodesiae_B
GCF_001722355.1,Mycobacterium holsaticum
GCF_900157365.1,Mycobacterium numidiamassiliense
GCF_001245615.1,Mycobacterium neworleansense
GCF_010723735.1,Mycobacterium hippocampi_B
GCF_900078665.2,Mycobacterium houstonense
GCF_000230895.2,Mycobacterium rhodesiae_A
GCF_001672775.1,Mycobacterium kyorinense_A
GCF_008370645.1,Mycobacterium simiae_A
GCF_001942045.1,Mycobacterium porcinum_A
GCF_002086735.1,Mycobacterium scrofulaceum
GCF_010723305.1,Mycobacterium botniense
GCF_002086485.1,Mycobacterium aquaticum
GCF_017876775.1,Mycobacterium lutetiense
GCF_003284925.1,Mycobacterium algericum_A
GCF_010731595.1,Mycobacterium seoulense
GCF_010731895.1,Mycobacterium helvum
